Year	Month	Date	Anomoly_Celcius
1880	1	1880-01-01	-.18
1880	2	1880-02-01	-.24
1880	3	1880-03-01	-.09
1880	4	1880-04-01	-.16
1880	5	1880-05-01	-.10
1880	6	1880-06-01	-.21
1880	7	1880-07-01	-.18
1880	8	1880-08-01	-.10
1880	9	1880-09-01	-.14
1880	10	1880-10-01	-.23
1880	11	1880-11-01	-.22
1880	12	1880-12-01	-.17
1881	1	1881-01-01	-.20
1881	2	1881-02-01	-.14
1881	3	1881-03-01	.03
1881	4	1881-04-01	.05
1881	5	1881-05-01	.06
1881	6	1881-06-01	-.19
1881	7	1881-07-01	.00
1881	8	1881-08-01	-.04
1881	9	1881-09-01	-.15
1881	10	1881-10-01	-.22
1881	11	1881-11-01	-.19
1881	12	1881-12-01	-.07
1882	1	1882-01-01	.16
1882	2	1882-02-01	.14
1882	3	1882-03-01	.05
1882	4	1882-04-01	-.17
1882	5	1882-05-01	-.15
1882	6	1882-06-01	-.24
1882	7	1882-07-01	-.17
1882	8	1882-08-01	-.08
1882	9	1882-09-01	-.14
1882	10	1882-10-01	-.24
1882	11	1882-11-01	-.16
1882	12	1882-12-01	-.36
1883	1	1883-01-01	-.29
1883	2	1883-02-01	-.37
1883	3	1883-03-01	-.12
1883	4	1883-04-01	-.18
1883	5	1883-05-01	-.18
1883	6	1883-06-01	-.08
1883	7	1883-07-01	-.07
1883	8	1883-08-01	-.14
1883	9	1883-09-01	-.21
1883	10	1883-10-01	-.11
1883	11	1883-11-01	-.23
1883	12	1883-12-01	-.11
1884	1	1884-01-01	-.13
1884	2	1884-02-01	-.07
1884	3	1884-03-01	-.36
1884	4	1884-04-01	-.40
1884	5	1884-05-01	-.34
1884	6	1884-06-01	-.36
1884	7	1884-07-01	-.30
1884	8	1884-08-01	-.28
1884	9	1884-09-01	-.27
1884	10	1884-10-01	-.25
1884	11	1884-11-01	-.34
1884	12	1884-12-01	-.31
1885	1	1885-01-01	-.59
1885	2	1885-02-01	-.34
1885	3	1885-03-01	-.27
1885	4	1885-04-01	-.42
1885	5	1885-05-01	-.46
1885	6	1885-06-01	-.44
1885	7	1885-07-01	-.34
1885	8	1885-08-01	-.32
1885	9	1885-09-01	-.28
1885	10	1885-10-01	-.24
1885	11	1885-11-01	-.24
1885	12	1885-12-01	-.10
1886	1	1886-01-01	-.44
1886	2	1886-02-01	-.51
1886	3	1886-03-01	-.43
1886	4	1886-04-01	-.28
1886	5	1886-05-01	-.24
1886	6	1886-06-01	-.35
1886	7	1886-07-01	-.18
1886	8	1886-08-01	-.31
1886	9	1886-09-01	-.24
1886	10	1886-10-01	-.28
1886	11	1886-11-01	-.28
1886	12	1886-12-01	-.25
1887	1	1887-01-01	-.72
1887	2	1887-02-01	-.57
1887	3	1887-03-01	-.36
1887	4	1887-04-01	-.35
1887	5	1887-05-01	-.31
1887	6	1887-06-01	-.25
1887	7	1887-07-01	-.26
1887	8	1887-08-01	-.36
1887	9	1887-09-01	-.26
1887	10	1887-10-01	-.36
1887	11	1887-11-01	-.26
1887	12	1887-12-01	-.33
1888	1	1888-01-01	-.34
1888	2	1888-02-01	-.36
1888	3	1888-03-01	-.41
1888	4	1888-04-01	-.20
1888	5	1888-05-01	-.22
1888	6	1888-06-01	-.17
1888	7	1888-07-01	-.10
1888	8	1888-08-01	-.16
1888	9	1888-09-01	-.12
1888	10	1888-10-01	.02
1888	11	1888-11-01	.03
1888	12	1888-12-01	-.04
1889	1	1889-01-01	-.09
1889	2	1889-02-01	.16
1889	3	1889-03-01	.06
1889	4	1889-04-01	.09
1889	5	1889-05-01	-.01
1889	6	1889-06-01	-.10
1889	7	1889-07-01	-.08
1889	8	1889-08-01	-.20
1889	9	1889-09-01	-.24
1889	10	1889-10-01	-.25
1889	11	1889-11-01	-.34
1889	12	1889-12-01	-.29
1890	1	1890-01-01	-.42
1890	2	1890-02-01	-.45
1890	3	1890-03-01	-.40
1890	4	1890-04-01	-.30
1890	5	1890-05-01	-.39
1890	6	1890-06-01	-.25
1890	7	1890-07-01	-.28
1890	8	1890-08-01	-.39
1890	9	1890-09-01	-.36
1890	10	1890-10-01	-.25
1890	11	1890-11-01	-.43
1890	12	1890-12-01	-.32
1891	1	1891-01-01	-.33
1891	2	1891-02-01	-.46
1891	3	1891-03-01	-.18
1891	4	1891-04-01	-.27
1891	5	1891-05-01	-.17
1891	6	1891-06-01	-.21
1891	7	1891-07-01	-.18
1891	8	1891-08-01	-.17
1891	9	1891-09-01	-.15
1891	10	1891-10-01	-.22
1891	11	1891-11-01	-.31
1891	12	1891-12-01	-.04
1892	1	1892-01-01	-.29
1892	2	1892-02-01	-.11
1892	3	1892-03-01	-.40
1892	4	1892-04-01	-.34
1892	5	1892-05-01	-.24
1892	6	1892-06-01	-.22
1892	7	1892-07-01	-.32
1892	8	1892-08-01	-.28
1892	9	1892-09-01	-.17
1892	10	1892-10-01	-.14
1892	11	1892-11-01	-.42
1892	12	1892-12-01	-.38
1893	1	1893-01-01	-.80
1893	2	1893-02-01	-.56
1893	3	1893-03-01	-.22
1893	4	1893-04-01	-.27
1893	5	1893-05-01	-.34
1893	6	1893-06-01	-.25
1893	7	1893-07-01	-.14
1893	8	1893-08-01	-.26
1893	9	1893-09-01	-.22
1893	10	1893-10-01	-.18
1893	11	1893-11-01	-.19
1893	12	1893-12-01	-.32
1894	1	1894-01-01	-.52
1894	2	1894-02-01	-.29
1894	3	1894-03-01	-.23
1894	4	1894-04-01	-.45
1894	5	1894-05-01	-.31
1894	6	1894-06-01	-.41
1894	7	1894-07-01	-.24
1894	8	1894-08-01	-.24
1894	9	1894-09-01	-.28
1894	10	1894-10-01	-.23
1894	11	1894-11-01	-.26
1894	12	1894-12-01	-.21
1895	1	1895-01-01	-.41
1895	2	1895-02-01	-.43
1895	3	1895-03-01	-.32
1895	4	1895-04-01	-.22
1895	5	1895-05-01	-.28
1895	6	1895-06-01	-.21
1895	7	1895-07-01	-.17
1895	8	1895-08-01	-.17
1895	9	1895-09-01	-.12
1895	10	1895-10-01	-.11
1895	11	1895-11-01	-.17
1895	12	1895-12-01	-.14
1896	1	1896-01-01	-.22
1896	2	1896-02-01	-.12
1896	3	1896-03-01	-.26
1896	4	1896-04-01	-.30
1896	5	1896-05-01	-.15
1896	6	1896-06-01	-.11
1896	7	1896-07-01	-.02
1896	8	1896-08-01	-.05
1896	9	1896-09-01	-.07
1896	10	1896-10-01	.06
1896	11	1896-11-01	-.04
1896	12	1896-12-01	-.04
1897	1	1897-01-01	-.15
